ethanol: 	 26.8928:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=17, tm_min=13, tm_sec=30, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8928:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=17, tm_min=13, tm_sec=56, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8928:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=17, tm_min=14, tm_sec=21, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8924:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=19, tm_min=45, tm_sec=55, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8925:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=19, tm_min=46, tm_sec=21, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8925:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=19, tm_min=46, tm_sec=46, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8923:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=22, tm_min=17, tm_sec=40, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8924:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=22, tm_min=18, tm_sec=6, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8923:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=22, tm_min=18, tm_sec=31, tm_wday=5, tm_yday=104, tm_isdst=1) 
ethanol: 	 26.8924:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=0, tm_min=49, tm_sec=36, tm_wday=6, tm_yday=105, tm_isdst=1) 
ethanol: 	 26.8924:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=0, tm_min=50, tm_sec=1, tm_wday=6, tm_yday=105, tm_isdst=1) 
ethanol: 	 26.8924:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=0, tm_min=50, tm_sec=27, tm_wday=6, tm_yday=105, tm_isdst=1) 
ethanol: 	 26.8918:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=3, tm_min=21, tm_sec=37, tm_wday=6, tm_yday=105, tm_isdst=1) 
ethanol: 	 26.8918:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=3, tm_min=22, tm_sec=2, tm_wday=6, tm_yday=105, tm_isdst=1) 
ethanol: 	 26.8918:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=3, tm_min=22, tm_sec=28, tm_wday=6, tm_yday=105, tm_isdst=1) 
ethanol: 	 26.8919:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=5, tm_min=54, tm_sec=1, tm_wday=6, tm_yday=105, tm_isdst=1) 
