acetone: 	 23.8456:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=20, tm_min=17, tm_sec=7, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 23.8455:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=20, tm_min=17, tm_sec=33, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 23.8062:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=22, tm_min=48, tm_sec=35, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 23.8061:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=22, tm_min=49, tm_sec=1, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 23.8060:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=13, tm_hour=22, tm_min=49, tm_sec=26, tm_wday=5, tm_yday=104, tm_isdst=1) 
acetone: 	 23.7670:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=1, tm_min=20, tm_sec=28, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.7669:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=1, tm_min=20, tm_sec=53, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.7668:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=1, tm_min=21, tm_sec=19, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.7274:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=3, tm_min=52, tm_sec=56, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.7272:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=3, tm_min=53, tm_sec=22, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.7271:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=3, tm_min=53, tm_sec=48, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.6882:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=6, tm_min=24, tm_sec=59, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.6880:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=6, tm_min=25, tm_sec=25, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.6879:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=6, tm_min=25, tm_sec=51, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.6482:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=8, tm_min=57, tm_sec=0, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.6481:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=8, tm_min=57, tm_sec=25, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.6480:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=8, tm_min=57, tm_sec=51, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.6085:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=11, tm_min=29, tm_sec=9, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.6084:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=11, tm_min=29, tm_sec=35, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.6083:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=11, tm_min=30, tm_sec=0, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.5687:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=14, tm_min=1, tm_sec=17, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.5685:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=14, tm_min=1, tm_sec=43, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.5684:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=14, tm_min=2, tm_sec=8, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.5289:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=16, tm_min=33, tm_sec=9, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.5289:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=16, tm_min=33, tm_sec=35, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.5287:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=16, tm_min=34, tm_sec=1, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.4895:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=19, tm_min=5, tm_sec=13, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.4894:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=19, tm_min=5, tm_sec=38, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.4894:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=19, tm_min=6, tm_sec=4, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.4496:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=21, tm_min=37, tm_sec=25, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.4496:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=21, tm_min=37, tm_sec=51, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.4495:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=14, tm_hour=21, tm_min=38, tm_sec=17, tm_wday=6, tm_yday=105, tm_isdst=1) 
acetone: 	 23.4102:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=15, tm_hour=0, tm_min=9, tm_sec=15, tm_wday=0, tm_yday=106, tm_isdst=1) 
acetone: 	 23.4101:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=15, tm_hour=0, tm_min=9, tm_sec=41, tm_wday=0, tm_yday=106, tm_isdst=1) 
acetone: 	 23.4100:	 time.struct_time(tm_year=2024, tm_mon=4, tm_mday=15, tm_hour=0, tm_min=10, tm_sec=6, tm_wday=0, tm_yday=106, tm_isdst=1) 
